,Bike Name,Price,Rating,Specs
12,TVS Apache RTR 160 4V,"<span class=""font18"" data-bind=""text: models()[12].price"">1,22,410</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[12].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[12].bikemodel.reviewRate ? models()[12].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[12].generalSpecs"">159.7 cc, 17.31 bhp, 144 kg</span>"
13,TVS Apache RTR 160,"<span class=""font18"" data-bind=""text: models()[13].price"">1,18,381</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[13].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[13].bikemodel.reviewRate ? models()[13].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[13].generalSpecs"">159.7 cc, 15.31 bhp, 139 kg</span>"
14,Bajaj Pulsar 125,"<span class=""font18"" data-bind=""text: models()[14].price"">82,713</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[14].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[14].bikemodel.reviewRate ? models()[14].bikemodel.reviewRate : 'Not rated yet'"">4.3</span></span>","<span data-bind=""text: models()[14].generalSpecs"">124.4 cc, 11.64 bhp, 140 kg</span>"
15,Royal Enfield Bullet 350,"<span class=""font18"" data-bind=""text: models()[15].price"">1,50,893</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[15].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[15].bikemodel.reviewRate ? models()[15].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[15].generalSpecs"">346 cc, 19.1 bhp, 186 kg</span>"
16,Bajaj Pulsar N160,"<span class=""font18"" data-bind=""text: models()[16].price"">1,23,011</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[16].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[16].bikemodel.reviewRate ? models()[16].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[16].generalSpecs"">164.82 cc, 15.68 bhp, 152 kg</span>"
17,Bajaj Pulsar P150,"<span class=""font18"" data-bind=""text: models()[17].price"">1,16,755</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[17].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[17].bikemodel.reviewRate ? models()[17].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[17].generalSpecs"">149.68 cc, 14.29 bhp, 140 kg</span>"
18,Suzuki Access 125,"<span class=""font18"" data-bind=""text: models()[18].price"">77,250</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[18].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[18].bikemodel.reviewRate ? models()[18].bikemodel.reviewRate : 'Not rated yet'"">4.2</span></span>","<span data-bind=""text: models()[18].generalSpecs"">124 cc, 8.6 bhp, 104 kg</span>"
19,Honda Unicorn,"<span class=""font18"" data-bind=""text: models()[19].price"">1,04,667</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[19].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[19].bikemodel.reviewRate ? models()[19].bikemodel.reviewRate : 'Not rated yet'"">4.3</span></span>","<span data-bind=""text: models()[19].generalSpecs"">162.7 cc, 12.73 bhp, 140 kg</span>"
20,Jawa 42,"<span class=""font18"" data-bind=""text: models()[20].price"">1,74,573</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[20].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[20].bikemodel.reviewRate ? models()[20].bikemodel.reviewRate : 'Not rated yet'"">4.3</span></span>","<span data-bind=""text: models()[20].generalSpecs"">294.72 cc, 26.95 bhp, 182 kg</span>"
21,Bajaj Pulsar 150,"<span class=""font18"" data-bind=""text: models()[21].price"">1,05,883</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[21].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[21].bikemodel.reviewRate ? models()[21].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[21].generalSpecs"">149.5 cc, 13.8 bhp, 148 kg</span>"
22,Honda Dio,"<span class=""font18"" data-bind=""text: models()[22].price"">71,372</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[22].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[22].bikemodel.reviewRate ? models()[22].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[22].generalSpecs"">109.51 cc, 7.65 bhp, 105 kg</span>"
23,TVS Ronin,"<span class=""font18"" data-bind=""text: models()[23].price"">1,49,000</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[23].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[23].bikemodel.reviewRate ? models()[23].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[23].generalSpecs"">225.9 cc, 20.1 bhp, 159 kg</span>"
24,BMW G310 RR,"<span class=""font18"" data-bind=""text: models()[24].price"">2,89,991</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[24].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[24].bikemodel.reviewRate ? models()[24].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[24].generalSpecs"">312.12 cc, 30 kmpl, 33.5 bhp, 174 kg</span>"
25,Honda Hornet 2.0,"<span class=""font18"" data-bind=""text: models()[25].price"">1,36,258</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[25].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[25].bikemodel.reviewRate ? models()[25].bikemodel.reviewRate : 'Not rated yet'"">4.1</span></span>","<span data-bind=""text: models()[25].generalSpecs"">184.4 cc, 17.03 bhp, 142 kg</span>"
26,KTM 250 Duke,"<span class=""font18"" data-bind=""text: models()[26].price"">2,35,901</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[26].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[26].bikemodel.reviewRate ? models()[26].bikemodel.reviewRate : 'Not rated yet'"">4.9</span></span>","<span data-bind=""text: models()[26].generalSpecs"">248.76 cc, 29.6 bhp, 170 kg</span>"
27,Hero HF Deluxe,"<span class=""font18"" data-bind=""text: models()[27].price"">54,368</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[27].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[27].bikemodel.reviewRate ? models()[27].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[27].generalSpecs"">97.2 cc, 7.91 bhp, 110 kg</span>"
28,Honda Hness CB350,"<span class=""font18"" data-bind=""text: models()[28].price"">2,00,326</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[28].bikemodel.reviewRateStar}"" data-rate-cl=""4""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[28].bikemodel.reviewRate ? models()[28].bikemodel.reviewRate : 'Not rated yet'"">4.5</span></span>","<span data-bind=""text: models()[28].generalSpecs"">348.36 cc, 20.78 bhp, 181 kg</span>"
29,Bajaj Pulsar NS200,"<span class=""font18"" data-bind=""text: models()[29].price"">1,42,051</span>","<span class=""rate-star-color"" data-bind=""attr: {'data-rate-cl': models()[29].bikemodel.reviewRateStar}"" data-rate-cl=""5""><span class=""bwsprite star-icon star-size-16""></span><span class=""font14 inline-block"" data-bind=""text: models()[29].bikemodel.reviewRate ? models()[29].bikemodel.reviewRate : 'Not rated yet'"">4.7</span></span>","<span data-bind=""text: models()[29].generalSpecs"">199.5 cc, 24.13 bhp, 160 kg</span>"
